node_id,label,feat
kmeasure-3c50b917-d403-11ec-9a42-00155d8545fd,10012,"0.085010945744006, 1.0"
kmeasure-3c4bae5f-d403-11ec-9c63-00155d8545fd,10028,"0.0567915097261936, 1.0"
kmeasure-3c4b98a4-d403-11ec-80d7-00155d8545fd,10015,"0.000622013559605939, 1.0"
kmeasure-3c4a167d-d403-11ec-a95f-00155d8545fd,10027,"0, 1.0"
kmeasure-3c4cccb3-d403-11ec-b5bb-00155d8545fd,10009,"0.118922168767333, 1.0"
kmeasure-3c4f880f-d403-11ec-9cdd-00155d8545fd,10020,"0, 1.0"
kmeasure-3c4df64c-d403-11ec-957f-00155d8545fd,10005,"0.0146165670655425, 1.0"
kmeasure-3c503e1a-d403-11ec-99ed-00155d8545fd,10017,"0, 1.0"
kmeasure-3c4f7a14-d403-11ec-a455-00155d8545fd,10020,"0.00107206293559069, 1.0"
kmeasure-3c4f312f-d403-11ec-be85-00155d8545fd,10024,"0, 1.0"
kmeasure-3c4dc8b8-d403-11ec-9714-00155d8545fd,10029,"0, 1.0"
kmeasure-3c4bbed4-d403-11ec-8d0d-00155d8545fd,10028,"0.0511102800135808, 1.0"
kmeasure-3c4fe229-d403-11ec-9c0a-00155d8545fd,10025,"0.00299993057159669, 1.0"
kmeasure-3c4c5b17-d403-11ec-9d0e-00155d8545fd,10014,"0.0379522978706222, 1.0"
kmeasure-3c4b83d3-d403-11ec-9da0-00155d8545fd,10015,"0, 1.0"
kmeasure-3c4abe97-d403-11ec-96b7-00155d8545fd,10001,"0.000952383618838441, 1.0"
kmeasure-3c4a9a3f-d403-11ec-8e51-00155d8545fd,10023,"0.0063724289661945, 1.0"
kmeasure-3c4cc9c0-d403-11ec-a6b1-00155d8545fd,10009,"0.149584062137828, 1.0"
kmeasure-3c4afa08-d403-11ec-8a12-00155d8545fd,10026,"0, 1.0"
kmeasure-3c4e51e7-d403-11ec-8b62-00155d8545fd,10002,"0, 1.0"
kmeasure-3c509d83-d403-11ec-b87f-00155d8545fd,10016,"0.00937708429051256, 1.0"
kmeasure-3c4de890-d403-11ec-aa67-00155d8545fd,10005,"0.00950006053100951, 1.0"
