"kobs_id","kmeasure_id"
"obf-686b23f5-bcce-4c68-a6e5-fcf31a7f6ed8","mact-7b411daa-2993-46f7-9883-88ed9410a66c"
"obf-de76a07a-0935-4cea-9755-089a2da00020","mact-3cfe4f2c-7d3b-4988-8bcd-b08b28c96e4e"
"obf-d4286f4c-e286-48ca-a2d5-8f5089fff410","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b"
"obf-4a67ed7a-7387-4ff4-a610-0060a02d2eb8","mact-1825587b-af31-4297-8c8c-d9170f24ecd8"
"obf-24660362-fa61-411c-9f82-8f6e107b1b2c","mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1"
"obf-63d3ac25-85f8-4c5b-b2e2-cce25363560e","mact-b9c3da31-d6f4-4766-b310-936e92f3313c"
"obf-2480daf0-c14e-4db9-9adb-46b00df4da5e","mact-26b34fef-27d0-4145-a138-15c4d63f03a2"
"obf-24660362-fa61-411c-9f82-8f6e107b1b2c","mact-02528e65-c88d-4434-80ff-99d3b326e001"
"obf-be003bad-fc60-4ba7-868d-194f909d4c4b","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
"obf-5a728e27-6359-433e-b673-ab863b561427","mact-26b34fef-27d0-4145-a138-15c4d63f03a2"
"obf-63d3ac25-85f8-4c5b-b2e2-cce25363560e","mact-9a9885eb-589d-4836-8902-a2266e628652"
"obf-e642da19-c9bb-47eb-85f9-3400d5376c57","mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712"
"obf-9300e8ea-52e6-4368-82a2-42f8afd594e2","mact-8803367b-2158-4f0f-a964-dad3ee9c0333"
"obf-336f8b2c-71f1-47f6-b1c7-6e2b7b2d122d","mact-9a9885eb-589d-4836-8902-a2266e628652"
"obf-24660362-fa61-411c-9f82-8f6e107b1b2c","mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712"
"obf-de76a07a-0935-4cea-9755-089a2da00020","mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712"
"obf-c902f00f-97fd-45c0-8753-dace2c608168","mact-02528e65-c88d-4434-80ff-99d3b326e001"
"obf-d4286f4c-e286-48ca-a2d5-8f5089fff410","mact-26b34fef-27d0-4145-a138-15c4d63f03a2"
"obf-e0117c66-e93b-4f5d-b484-1310c38f2fa1","mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712"
"obf-d7f52f90-7169-41fa-97e3-31f1488aa7da","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
"obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k","mact-26b34fef-27d0-4145-a138-15c4d63f03a2"
"obf-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c","mact-02528e65-c88d-4434-80ff-99d3b326e001"
"obf-d4286f4c-e286-48ca-a2d5-8f5089fff410","mact-7b411daa-2993-46f7-9883-88ed9410a66c"
"obf-5e328d1a-c14d-4031-99c0-d107731563e3","mact-02528e65-c88d-4434-80ff-99d3b326e001"
"obf-6f14fa07-7cbf-4473-9ab3-d47864b7ed98","mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712"
"obf-d4286f4c-e286-48ca-a2d5-8f5089fff410","mact-5e98f8ec-2cf0-495b-aa69-b1fc065079c0"
"obf-4e32dea8-742d-474f-bf43-bbfce4656239","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
