id,source_id,target_id
relationship--fab558cd-cb4a-4e7a-a3c7-184bee680019,course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,attack-pattern--837f9164-50af-4ac0-8219-379d8a74cefc
relationship--dac6c0a0-9eba-41b5-95c1-2f340d12b175,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,attack-pattern--837f9164-50af-4ac0-8219-379d8a74cefc
relationship--f4ac7555-2b20-4345-998e-6ffc462cab03,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--837f9164-50af-4ac0-8219-379d8a74cefc
relationship--934be676-4444-4ab3-a411-dc9a8dc9c4bb,course-of-action--2a4f6c11-a4a7-4cb9-b0ef-6ae1bb3a718a,attack-pattern--837f9164-50af-4ac0-8219-379d8a74cefc
relationship--476041eb-8a19-4eef-bd07-d3a2db565928,course-of-action--0472af99-f25c-4abe-9fce-010fa3450e72,attack-pattern--837f9164-50af-4ac0-8219-379d8a74cefc
relationship--1eb94d47-7732-488e-b040-2bff5ab859a7,course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,attack-pattern--341e222a-a6e3-4f6f-b69c-831d792b1580
relationship--21454d73-1532-4656-9cd6-172f046613b3,course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,attack-pattern--341e222a-a6e3-4f6f-b69c-831d792b1580
relationship--9c4bd197-08a2-4ded-baba-bd70b6b4afd0,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,attack-pattern--341e222a-a6e3-4f6f-b69c-831d792b1580
relationship--2112463d-2f28-492a-a1fd-5f87efd2393d,course-of-action--4490fee2-5c70-4db3-8db5-8d88767dbd55,attack-pattern--341e222a-a6e3-4f6f-b69c-831d792b1580
relationship--ab8f7561-4e27-4974-b93d-03a9c1ae4543,course-of-action--2f316f6c-ae42-44fe-adf8-150989e0f6d3,attack-pattern--8187bd2a-866f-4457-9009-86b0ddedffa3
relationship--875ce7ce-fbea-4bd7-85f0-db06902a6adb,course-of-action--ace4daee-f914-4707-be75-843f16da2edf,attack-pattern--8187bd2a-866f-4457-9009-86b0ddedffa3
relationship--ee382a02-cde0-49a8-89e2-26237a25740c,course-of-action--feff9142-e8c2-46f4-842b-bd6fb3d41157,attack-pattern--60b508a1-6a5e-46b1-821a-9f7b78752abf
relationship--ed609ca1-8646-4827-9d1a-aad365de95f6,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,attack-pattern--60b508a1-6a5e-46b1-821a-9f7b78752abf
relationship--2d3a898c-bdc3-4cc1-ae14-325dbb60f2e2,course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,attack-pattern--60b508a1-6a5e-46b1-821a-9f7b78752abf
relationship--47c4478d-1526-4c4f-8158-17ad8cfcc6b9,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--60b508a1-6a5e-46b1-821a-9f7b78752abf
relationship--73477ebd-4048-488b-a727-a233e2d8bb51,course-of-action--f27ef4f2-71fe-48b6-b7f4-02dcac14320e,attack-pattern--60b508a1-6a5e-46b1-821a-9f7b78752abf
relationship--abe43d10-714a-4f29-b164-d7cadd83cb61,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517
relationship--2b36db33-4f97-4228-bcca-4f453d1bd533,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517
relationship--8497e912-185d-403b-865e-17c4b02290d2,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517
relationship--3e646993-2414-4382-b709-6c5bc02740e3,course-of-action--590777b3-b475-4c7c-aaf8-f4a73b140312,attack-pattern--b4b7458f-81f2-4d38-84be-1c5ba0167a52
relationship--ec56fe4c-c61c-45e3-82fb-44edd43540fc,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--bd5b58a4-a52d-4a29-bc0d-3f1d3968eb6b
relationship--3c37c043-7f27-4fb9-ba7f-bce3181849ac,course-of-action--590777b3-b475-4c7c-aaf8-f4a73b140312,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2
relationship--095e5f7b-288c-4995-8045-b691602d38c9,course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2
relationship--026e7bb0-2037-4bfc-b9ae-98e70530f22a,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2
