id,source_id,target_id
74fa567d-bc90-425c-8a41-3c703abb221cd710099e-df94-4be4-bf85-cabd30e912bb,x-mitre-data-component--74fa567d-bc90-425c-8a41-3c703abb221c,x-mitre-data-source--d710099e-df94-4be4-bf85-cabd30e912bb
639e87f3-acb6-448a-9645-258f20da4bc5509ed41e-ca42-461e-9058-24602256daf9,x-mitre-data-component--639e87f3-acb6-448a-9645-258f20da4bc5,x-mitre-data-source--509ed41e-ca42-461e-9058-24602256daf9
ee575f4a-2d4f-48f6-b18b-89067760adc1e8b8ede7-337b-4c0c-8c32-5c7872c1ee22,x-mitre-data-component--ee575f4a-2d4f-48f6-b18b-89067760adc1,x-mitre-data-source--e8b8ede7-337b-4c0c-8c32-5c7872c1ee22
3551476e-14f5-4e48-a518-e82135329e039ec8c0d7-6137-456f-b829-c5f8b96ba054,x-mitre-data-component--3551476e-14f5-4e48-a518-e82135329e03,x-mitre-data-source--9ec8c0d7-6137-456f-b829-c5f8b96ba054
071a09b1-8945-46fd-8bb7-6bcc894009631ac0ca69-e07e-4b34-9061-e4588e146c52,x-mitre-data-component--071a09b1-8945-46fd-8bb7-6bcc89400963,x-mitre-data-source--1ac0ca69-e07e-4b34-9061-e4588e146c52
b5b0e8ae-7436-4951-950a-7b83c4dd3f2c45232bc0-e858-440d-aa93-d48c6cf167f0,x-mitre-data-component--b5b0e8ae-7436-4951-950a-7b83c4dd3f2c,x-mitre-data-source--45232bc0-e858-440d-aa93-d48c6cf167f0
f8213cde-6b3a-420d-9ab7-41c9af1a919f45232bc0-e858-440d-aa93-d48c6cf167f0,x-mitre-data-component--f8213cde-6b3a-420d-9ab7-41c9af1a919f,x-mitre-data-source--45232bc0-e858-440d-aa93-d48c6cf167f0
5297a638-1382-4f0c-8472-0d21830bf705d710099e-df94-4be4-bf85-cabd30e912bb,x-mitre-data-component--5297a638-1382-4f0c-8472-0d21830bf705,x-mitre-data-source--d710099e-df94-4be4-bf85-cabd30e912bb
7b375092-3a61-448d-900a-77c9a4bde4dcc9ddfb51-eb45-4e22-b614-44ac1caa7883,x-mitre-data-component--7b375092-3a61-448d-900a-77c9a4bde4dc,x-mitre-data-source--c9ddfb51-eb45-4e22-b614-44ac1caa7883
faa34cf6-cf32-4dc9-bd6a-8f7a606ff65bc9ddfb51-eb45-4e22-b614-44ac1caa7883,x-mitre-data-component--faa34cf6-cf32-4dc9-bd6a-8f7a606ff65b,x-mitre-data-source--c9ddfb51-eb45-4e22-b614-44ac1caa7883
b597a220-6510-4397-b0d8-342cd2c588271ac0ca69-e07e-4b34-9061-e4588e146c52,x-mitre-data-component--b597a220-6510-4397-b0d8-342cd2c58827,x-mitre-data-source--1ac0ca69-e07e-4b34-9061-e4588e146c52
8c826308-2760-492f-9e36-4f0f7e23bcacb1ddede4-cafe-4955-ac4c-14b33ac3f647,x-mitre-data-component--8c826308-2760-492f-9e36-4f0f7e23bcac,x-mitre-data-source--b1ddede4-cafe-4955-ac4c-14b33ac3f647
